173
[(105, 9, 2), (109, 25, 2), (95, 38, 1), (100, 9, 0), (98, 27, 3), (88, 1, 1), (105, 26, 1), (121, 23, 0), (96, 13, 3), (121, 13, 2), (94, 25, 1), (85, 28, 0), (97, 17, 1), (121, 26, 3), (103, 34, 3), (88, 37, 3), (105, 36, 1), (96, 0, 3), (110, 0, 3), (89, 37, 1)]
600 40.0                     -38.893 -50 -50 0.0
72600 171.0 169.246                         171 -33.153333333333336 0.07666666666666666
73100 171.0 169.381                         171 -28.756666666666668 0.09666666666666666
73600 171.0 169.51033333333334                         171 -23.626666666666665 0.12
74100 171.0 169.57533333333333                         171 -23.61 0.12
74600 171.0 169.63333333333335                         171 -22.123333333333335 0.12666666666666668
75100 171.0 169.72366666666667                         171 -20.278333333333332 0.135
75600 171.0 169.78366666666668                         171 -14.396666666666667 0.16166666666666665
76100 171.0 169.86100000000002                         171 -12.185 0.17166666666666666
76600 172.0 169.86833333333334                         172 -1.9033333333333333 0.21833333333333332
77100 172.0 169.90300000000002                         172 10.225 0.2733333333333333
77600 172.0 169.957                         172 23.09 0.33166666666666667
78100 172.0 170.071                         172 41.46 0.415
78600 172.0 170.04                         172 53.586666666666666 0.47
79100 172.0 170.227                         172 79.68 0.5883333333333334
79600 172.0 170.26666666666668                         172 102.84166666666667 0.6933333333333334
80100 172.0 170.36366666666666                         172 121.975 0.78
80600 172.0 170.45766666666668                         172 130.13666666666666 0.8166666666666667
81100 172.0 170.61866666666666                         172 139.42333333333335 0.8583333333333333
81600 172.0 170.70466666666667                         172 146.9 0.8916666666666667
82100 172.0 170.87933333333334                         172 154.73666666666668 0.9266666666666666
82600 172.0 170.91333333333333                         172 162.53166666666667 0.9616666666666667
83100 172.0 171.00333333333333                         172 167.70333333333335 0.985
83600 172.0 170.96633333333332                         172 168.82 0.99
84100 172.0 171.02466666666666                         172 169.93166666666667 0.995
84600 172.0 171.02066666666667                         172 169.205 0.9916666666666667
85100 172.0 170.983                         172 169.20666666666668 0.9916666666666667
85600 172.0 170.99533333333332                         172 167.005 0.9816666666666667
86100 172.0 171.06166666666667                         172 169.96666666666667 0.995
86600 172.0 171.049                         172 169.61333333333334 0.9933333333333333
87100 172.0 171.063                         172 168.9 0.99
87600 172.0 171.07966666666667                         172 167.81 0.985
88100 172.0 171.09966666666668                         172 167.47166666666666 0.9833333333333333
88600 172.0 171.161                         172 168.60666666666665 0.9883333333333333
89100 172.0 171.202                         172 169.01333333333332 0.99
89600 172.0 171.25366666666667                         172 169.06166666666667 0.99
90100 173.8 171.29433333333333                         172 169.12 0.99
90600 173.8 171.39966666666666                         172 168.82333333333332 0.9883333333333333
91100 173.8 171.48233333333334                         172 168.92 0.9883333333333333
91600 173.8 171.639                         172 170.165 0.9933333333333333
92100 173.8 171.74466666666666                         172 169.19166666666666 0.9883333333333333
92600 173.8 171.87033333333332                         172 170.055 0.9916666666666667
93100 173.8 171.97633333333334                         172 170.87666666666667 0.995
93600 173.8 171.99533333333332                         172 171.25833333333333 0.9966666666666667
94100 173.8 171.98866666666666                         172 170.89 0.995
94600 173.8 171.997                         172 170.89 0.995
